train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/dropout,config/train_loop_config/batch_size,config/train_loop_config/final_lr_ratio,config/train_loop_config/init_lr_ratio,config/train_loop_config/max_lr,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/warmup_epochs,config/train_loop_config/message_hidden_dim,logdir
0.004189597442746162,0.008870202116668224,0.8098011016845703,4.588815689086914,0.004189597442746162,199,3600,1761448330,checkpoint_000199,True,False,200,2731ef7d,2025-10-26_03-12-10,3.2593417167663574,744.2169780731201,1406123,uri-gpu009,10.100.115.9,744.2169780731201,200,1100,0.0,64,0.1522905311652806,0.1932113101590144,0.001329775354021746,6,1,45,1800,2731ef7d
0.2227276712656021,0.2525933086872101,0.8025915622711182,0.8443923592567444,0.2227276712656021,199,7200,1761448671,checkpoint_000199,True,False,200,19ec267a,2025-10-26_03-17-51,4.414368391036987,783.8085091114044,1423300,uri-gpu009,10.100.115.9,783.8085091114044,200,1700,0.0,32,0.0730967989115941,0.06605607672321322,0.00025641612499447146,2,2,77,1500,19ec267a
0.38906070590019226,0.3901148736476898,0.8138936758041382,0.6041051149368286,0.38906070590019226,104,3780,1761448693,checkpoint_000104,True,False,105,863f7670,2025-10-26_03-18-13,2.7484512329101562,344.745685338974,1453908,uri-gpu009,10.100.115.9,344.745685338974,105,1100,0.25,32,0.652744584297665,0.041654197531872675,0.00012286302122987725,4,1,18,1500,863f7670
0.08212307840585709,0.09707453846931458,0.8112615346908569,2.0141515731811523,0.08212307840585709,199,3600,1761449386,checkpoint_000199,True,False,200,a414d1f2,2025-10-26_03-29-46,3.6927664279937744,691.6870200634003,1478548,uri-gpu009,10.100.115.9,691.6870200634003,200,1000,0.15000000000000002,64,0.0264042639584858,0.608943366433319,0.0007560973956678508,4,2,62,1600,a414d1f2
0.25549715757369995,0.26909804344177246,0.8015283942222595,0.9229485988616943,0.25549715757369995,199,1000,1761449843,checkpoint_000199,True,False,200,8e4f57e4,2025-10-26_03-37-23,5.4370105266571045,1125.7856831550598,1479993,uri-gpu009,10.100.115.9,1125.7856831550598,200,1400,0.0,256,0.10200922431591174,0.0254424784122926,0.000447464712308428,5,2,58,2400,8e4f57e4
0.09880837053060532,0.09868323057889938,0.8139677047729492,1.1981877088546753,0.09880837053060532,199,1000,1761450310,checkpoint_000199,True,False,200,18942adf,2025-10-26_03-45-10,5.044100046157837,897.6692616939545,1516077,uri-gpu009,10.100.115.9,897.6692616939545,200,900,0.4,256,0.17396232482570775,0.012306996711338766,0.006432556639945765,5,1,61,2100,18942adf
0.4568960964679718,0.45817095041275024,0.8266159296035767,0.517633855342865,0.4568960964679718,199,1000,1761450904,checkpoint_000199,True,False,200,6756231e,2025-10-26_03-55-04,5.488955736160278,1032.1037306785583,1532926,uri-gpu009,10.100.115.9,1032.1037306785583,200,1700,0.15000000000000002,256,0.014773803572345931,0.031202977852662125,0.00017497210190879314,2,2,86,2100,6756231e
0.3342808187007904,0.34896320104599,0.7978318929672241,0.6713802814483643,0.3342808187007904,199,1800,1761451199,checkpoint_000199,True,False,200,62cabcd6,2025-10-26_03-59-59,3.8026084899902344,861.2098624706268,1550989,uri-gpu009,10.100.115.9,861.2098624706268,200,1300,0.0,128,0.01122956502079876,0.012762550760513166,0.00030830623681664057,3,2,93,1900,62cabcd6
0.001316191628575325,0.0018341988325119019,0.8149096965789795,4.363307952880859,0.001316191628575325,199,1800,1761451562,checkpoint_000199,True,False,200,cde1928d,2025-10-26_04-06-02,2.8541152477264404,632.5850193500519,1575207,uri-gpu009,10.100.115.9,632.5850193500519,200,1900,0.0,128,0.03215661638711868,0.014344961501402383,0.00481176342405285,5,1,40,1400,cde1928d
0.4665796756744385,0.4686060845851898,0.8262754082679749,0.5322834849357605,0.4665796756744385,199,1800,1761451968,checkpoint_000199,True,False,200,49aa04dc,2025-10-26_04-12-48,3.753061056137085,743.8896136283875,1591794,uri-gpu009,10.100.115.9,743.8896136283875,200,1300,0.0,128,0.021920084786728584,0.010319641073669977,0.00011381583294454103,3,1,86,1900,49aa04dc
